0,1,2
0.0,12.5,0.0
8.50349630052395,12.651893758921657,2.3235685924518203
17.00221505592051,12.778891171172951,4.568544241735787
25.52987934070522,12.887350489829775,6.838368404283175
34.090094220753016,12.975097165597917,9.093969867830374
42.6939568375953,13.042289563736489,11.332040531634968
51.35262423335157,13.089238440938935,13.549417939533534
60.07735161251587,13.116397180583919,15.743104223838285
68.87952867044285,13.124349923234146,17.910282166615758
77.77071375452556,13.113798022574317,20.048328260279508
86.76266572276965,13.085545278748437,22.154822754391354
95.86737342713002,13.040482404436451,24.22755661599576
105.09708294206138,12.97957115171198,26.264535911409027
114.4643224912625,12.903828519462602,28.263982970015917
123.98192544732676,12.8143113763444,30.22433557331361
133.66305147994666,12.712101823201035,32.14424357240985
143.52120619155727,12.598293530977616,34.02256363592232
153.57025950741428,12.473979244778542,35.85835228045129
163.8244631200468,12.34023958373436,37.650857481479406
174.2984672884655,12.198133211813305,39.399509158115514
185.00733727014068,12.048688412467282,41.103908740975264
195.96656967919094,11.892896042972561,42.763818206442885
